timestamp,graph,N,T,fhe_ms,matches_plaintext
2026-07-22 00:00:00,graph_N16,16,4,559196.2,YES
2026-07-22 22:20:38,graph_N4,4,2,3154.68,YES
2026-07-22 22:21:24,graph_N8,8,3,36750.9,YES
